can_nam,can_off,can_par_aff,can_inc_cha_ope_sea,can_sta,tot_con,tra_fro_oth_aut_com,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_ope_exp,cov_sta_dat,cov_end_dat,winner,votes
"ALLEN, RICHARD W",H,REP,INCUMBENT,GA,"$1,074,949.50 ","$17,710.49 ","$978,518.98 ","$60,109.57 ","$175,613.35 ","$907,156.21 ",1/1/2015,10/19/2016,Y,158708
"EVANS, DWIGHT",H,DEM,CHALLENGER,PA,"$1,417,545.22 ",,"$1,313,583.69 ",,"$105,687.23 ","$1,298,831.83 ",11/2/2015,10/19/2016,Y,310770
"RUTHERFORD, JOHN",H,REP,OPEN,FL,"$650,855.38 ",,"$675,642.76 ",,"$35,645.09 ","$656,210.29 ",4/1/2016,10/19/2016,Y,286018
"ZINKE, RYAN K",H,REP,INCUMBENT,MT,"$4,980,915.41 ","$136,894.00 ","$5,200,630.00 ","$83,815.78 ","$399,122.61 ","$5,055,942.15 ",1/1/2015,10/19/2016,Y,280476
"LEE, BARBARA",H,DEM,INCUMBENT,CA,"$1,205,863.61 ",,"$1,112,163.94 ","$83,690.60 ","$181,338.23 ","$949,488.98 ",1/1/2015,10/19/2016,Y,277390
"PRICE, DAVID E.",H,DEM,INCUMBENT,NC,"$728,854.52 ",,"$675,837.98 ","$216,409.21 ","$274,287.84 ","$430,826.04 ",1/1/2015,10/19/2016,Y,275501
"POCAN, MARK",H,DEM,INCUMBENT,WI,"$970,547.37 ",,"$745,903.44 ","$187,549.87 ","$412,220.80 ","$445,438.15 ",1/1/2015,10/19/2016,Y,273520
"LYNCH, STEPHEN",H,DEM,INCUMBENT,MA,"$1,092,269.56 ",,"$493,047.23 ","$406,586.74 ","$1,010,654.62 ","$459,790.68 ",1/1/2015,10/19/2016,Y,267944
"WALDEN, GREGORY P MR.",H,REP,INCUMBENT,OR,"$3,012,350.64 ","$94,317.84 ","$2,866,919.77 ","$997,259.73 ","$1,264,468.82 ","$1,911,215.54 ",1/1/2015,10/19/2016,Y,267179
"KENNEDY, JOSEPH P III",H,DEM,INCUMBENT,MA,"$2,797,967.38 ","$191,442.43 ","$1,553,016.80 ","$1,400,008.58 ","$2,858,165.71 ","$1,537,844.39 ",1/1/2015,10/19/2016,Y,261356
"SENSENBRENNER, F. JAMES JR.",H,REP,INCUMBENT,WI,"$365,203.15 ",,"$269,824.16 ","$393,925.71 ","$489,657.75 ","$265,824.16 ",1/1/2015,10/19/2016,Y,260705
"WEBSTER, DANIEL",H,REP,INCUMBENT,FL,"$836,057.86 ",,"$921,708.58 ","$162,472.14 ","$76,985.57 ","$785,298.58 ",1/1/2015,10/19/2016,Y,257881
"PINGREE, CHELLIE M",H,DEM,INCUMBENT,ME,"$573,557.98 ",,"$243,655.52 ","$215,458.53 ","$546,889.99 ","$238,294.57 ",1/1/2015,10/19/2016,Y,255428
"GAETZ, MATT",H,REP,OPEN,FL,"$952,163.89 ",,"$1,021,759.23 ",,"$45,404.66 ","$993,759.23 ",1/1/2016,10/19/2016,Y,254280
"BILIRAKIS, GUS M",H,REP,INCUMBENT,FL,"$1,308,157.43 ","$1,939.99 ","$1,437,850.99 ","$429,105.83 ","$306,900.57 ","$1,260,554.41 ",1/1/2015,10/19/2016,Y,253347
"DOYLE, MIKE",H,DEM,INCUMBENT,PA,"$782,713.70 ",,"$705,585.79 ","$210,531.58 ","$291,751.36 ","$454,476.55 ",1/1/2015,10/19/2016,Y,252709
"POLIS, JARED",H,DEM,INCUMBENT,CO,"$1,283,835.94 ","$1,151.32 ","$1,204,153.74 ","$10,603.18 ","$91,824.88 ","$1,102,838.77 ",1/1/2015,10/19/2016,Y,251988
"ELLISON, KEITH MAURICE",H,DEM,INCUMBENT,MN,"$2,301,753.46 ","$35,764.29 ","$2,148,597.60 ","$162,747.78 ","$365,620.60 ","$1,622,329.10 ",1/1/2015,10/19/2016,Y,249957
