can_nam,can_off,can_par_aff,can_inc_cha_ope_sea,can_sta,tot_con,tra_fro_oth_aut_com,Tot_Mon,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_ope_exp,cov_sta_dat,cov_end_dat,winner,votes
"ALLEN, RICHARD W",H,REP,INCUMBENT,GA,1074949.50,17710.49,1092659.99,978518.98,60109.57,175613.35,907156.21,1/1/2015,10/19/2016,Y,158708
"EVANS, DWIGHT",H,DEM,CHALLENGER,PA,1417545.22,,1417545.22,1313583.69,,105687.23,1298831.83,11/2/2015,10/19/2016,Y,310770
"RUTHERFORD, JOHN",H,REP,OPEN,FL,650855.38,,650855.38,675642.76,,35645.09,656210.29,4/1/2016,10/19/2016,Y,286018
"ZINKE, RYAN K",H,REP,INCUMBENT,MT,4980915.41,136894.00,5117809.41,5200630.00,83815.78,399122.61,5055942.15,1/1/2015,10/19/2016,Y,280476
"LEE, BARBARA",H,DEM,INCUMBENT,CA,1205863.61,,1205863.61,1112163.94,83690.60,181338.23,949488.98,1/1/2015,10/19/2016,Y,277390
"PRICE, DAVID E.",H,DEM,INCUMBENT,NC,728854.52,,728854.52,675837.98,216409.21,274287.84,430826.04,1/1/2015,10/19/2016,Y,275501
"POCAN, MARK",H,DEM,INCUMBENT,WI,970547.37,,970547.37,745903.44,187549.87,412220.80,445438.15,1/1/2015,10/19/2016,Y,273520
"LYNCH, STEPHEN",H,DEM,INCUMBENT,MA,1092269.56,,1092269.56,493047.23,406586.74,1010654.62,459790.68,1/1/2015,10/19/2016,Y,267944
"WALDEN, GREGORY P MR.",H,REP,INCUMBENT,OR,3012350.64,94317.84,3106668.48,2866919.77,997259.73,1264468.82,1911215.54,1/1/2015,10/19/2016,Y,267179
"KENNEDY, JOSEPH P III",H,DEM,INCUMBENT,MA,2797967.38,191442.43,2989409.81,1553016.80,1400008.58,2858165.71,1537844.39,1/1/2015,10/19/2016,Y,261356
"SENSENBRENNER, F. JAMES JR.",H,REP,INCUMBENT,WI,365203.15,,365203.15,269824.16,393925.71,489657.75,265824.16,1/1/2015,10/19/2016,Y,260705
"WEBSTER, DANIEL",H,REP,INCUMBENT,FL,836057.86,,836057.86,921708.58,162472.14,76985.57,785298.58,1/1/2015,10/19/2016,Y,257881
"PINGREE, CHELLIE M",H,DEM,INCUMBENT,ME,573557.98,,573557.98,243655.52,215458.53,546889.99,238294.57,1/1/2015,10/19/2016,Y,255428
"GAETZ, MATT",H,REP,OPEN,FL,952163.89,,952163.89,1021759.23,,45404.66,993759.23,1/1/2016,10/19/2016,Y,254280
"BILIRAKIS, GUS M",H,REP,INCUMBENT,FL,1308157.43,1939.99,1310097.42,1437850.99,429105.83,306900.57,1260554.41,1/1/2015,10/19/2016,Y,253347
"DOYLE, MIKE",H,DEM,INCUMBENT,PA,782713.70,,782713.70,705585.79,210531.58,291751.36,454476.55,1/1/2015,10/19/2016,Y,252709
"POLIS, JARED",H,DEM,INCUMBENT,CO,1283835.94,1151.32,1284987.26,1204153.74,10603.18,91824.88,1102838.77,1/1/2015,10/19/2016,Y,251988
"ELLISON, KEITH MAURICE",H,DEM,INCUMBENT,MN,2301753.46,35764.29,2337517.75,2148597.60,162747.78,365620.60,1622329.10,1/1/2015,10/19/2016,Y,249957
"LUETKEMEYER, W BLAINE",H,REP,INCUMBENT,MO,1809804.99,18714.81,1828519.80,858354.38,965976.43,1941810.36,550469.87,1/1/2015,10/19/2016,Y,248880
"LAHOOD, DARIN MCKAY",H,REP,INCUMBENT,IL,2434843.83,42651.79,2477495.62,2026989.91,,460882.83,1941921.99,1/1/2015,10/19/2016,Y,248701
"POSEY, BILL",H,REP,INCUMBENT,FL,845043.04,,845043.04,599565.07,342230.68,588576.15,516550.17,1/1/2015,10/19/2016,Y,246257
"BEYER, DONALD STERNOFF JR.",H,DEM,INCUMBENT,VA,1989963.61,,1989963.61,1280886.52,86253.61,814750.02,742454.92,1/1/2015,10/19/2016,Y,245775
"LAWRENCE, BRENDA LULENAR",H,DEM,INCUMBENT,MI,782933.08,,782933.08,644597.37,89131.21,228308.15,498853.15,1/1/2015,10/19/2016,Y,244220
"TIBERI, PATRICK J.",H,REP,INCUMBENT,OH,4261647.29,,4261647.29,1580568.48,2501982.76,5201935.66,1318584.81,1/1/2015,10/19/2016,Y,243970
"SCALISE, STEVE MR.",H,REP,INCUMBENT,LA,868953.07,2490273.66,3359226.73,3406764.06,482793.91,455004.90,2449513.59,1/1/2015,10/19/2016,Y,243575
"LEWIS, JOHN R.",H,DEM,INCUMBENT,GA,983493.33,,983493.33,931861.53,184419.65,236216.43,655566.55,1/1/2015,10/19/2016,Y,241773
"BUCK, KENNETH R",H,REP,INCUMBENT,CO,814511.67,122124.34,936636.01,703143.10,140466.09,401585.47,550056.91,1/1/2015,10/19/2016,Y,241424
"PALMER, GARY",H,REP,INCUMBENT,AL,1187424.52,,1187424.52,609868.94,189712.50,781799.96,451946.24,1/1/2015,10/19/2016,Y,240897
"LATTA, ROBERT EDWARD MR",H,REP,INCUMBENT,OH,1000568.32,,1000568.32,614047.11,492878.98,879548.37,384494.66,1/1/2015,10/19/2016,Y,240036
"ROONEY, FRANCIS",H,REP,OPEN,FL,4554012.50,,4554012.50,4722777.88,,281520.97,4718541.53,4/1/2016,10/19/2016,Y,238975
"WAGNER, ANN L.",H,REP,INCUMBENT,MO,2210960.70,,2210960.70,1205337.65,1368888.91,2378737.36,1118312.25,1/1/2015,10/19/2016,Y,238826
"BUTTERFIELD, G K",H,DEM,INCUMBENT,NC,1034423.84,,1034423.84,752625.19,387090.38,677558.09,645262.84,1/1/2015,10/19/2016,Y,237938
"BRADY, ROBERT A",H,DEM,INCUMBENT,DC,644566.00,,644566.00,625124.98,549473.17,575066.15,302059.98,1/1/2015,10/19/2016,Y,237882
"NOEM, KRISTI LYNN",H,REP,INCUMBENT,SD,2225295.45,9629.37,2234924.82,1153763.90,802383.57,1894546.07,1082356.55,1/1/2015,10/19/2016,Y,237141
"GRAVES, SAMUEL B JR 'SAM'",H,REP,INCUMBENT,MO,1422218.45,32750.00,1454968.45,1279592.77,394483.22,578169.06,1008699.48,1/1/2015,10/19/2016,Y,236938
"LABRADOR, RAUL R. HON.",H,REP,INCUMBENT,ID,466174.92,,466174.92,822609.85,370198.86,19763.02,755746.58,1/1/2015,10/19/2016,Y,236397
"EMMER, THOMAS EARL JR.",H,REP,INCUMBENT,MN,1649587.39,115695.56,1765282.95,1375703.31,18199.74,417793.38,1178785.31,1/1/2015,10/19/2016,Y,235384
"TSONGAS, NICOLA S",H,DEM,INCUMBENT,MA,1113152.63,43051.00,1156203.63,1065199.84,401337.73,492351.19,825206.83,1/1/2015,10/19/2016,Y,234361
"MASSIE, THOMAS H.",H,REP,INCUMBENT,KY,387273.34,53000.00,440273.34,319674.75,202274.26,325438.04,247444.68,1/1/2015,10/19/2016,Y,233922
"ROCHESTER, LISA BLUNT",H,DEM,OPEN,DE,908738.58,,908738.58,1163965.10,,209285.48,1102656.32,10/1/2015,10/19/2016,Y,233542
"FUDGE, MARCIA L",H,DEM,INCUMBENT,OH,669881.30,14.02,669895.32,577891.45,667845.18,760454.20,568070.90,1/1/2015,10/19/2016,Y,233285
"CRAMER, KEVIN MR.",H,REP,INCUMBENT,ND,1310404.42,,1310404.42,737618.58,20897.96,595583.96,727918.42,1/1/2015,10/19/2016,Y,233245
"ADAMS, ALMA SHEALEY",H,DEM,INCUMBENT,NC,891822.41,,891822.41,799615.54,23091.45,117318.12,778075.76,1/1/2015,10/19/2016,Y,232451
"DAVIS, DANNY K. MR.",H,DEM,INCUMBENT,IL,505107.32,,505107.32,498709.80,255301.90,271505.73,376136.26,1/1/2015,10/19/2016,Y,232322
"CLAY, WILLIAM LACY JR",H,DEM,INCUMBENT,MO,599196.84,,599196.84,654633.68,317053.11,265324.14,605274.68,1/1/2015,10/19/2016,Y,231604
"DUNN, NEAL PATRICK MD, FACS",H,REP,OPEN,FL,1299519.52,,1299519.52,1810067.89,,81539.11,1743643.09,7/1/2015,10/19/2016,Y,230838
"BUCHANAN, VERNON",H,REP,INCUMBENT,FL,1535329.56,0.50,1535330.06,698021.47,724712.57,1573616.46,681924.36,1/1/2015,10/19/2016,Y,230187
"RYAN, PAUL D.",H,REP,INCUMBENT,WI,7258338.55,11695816.30,18954154.85,12122208.82,2680320.86,9532781.76,6895091.26,1/1/2015,10/19/2016,Y,230063
"SMITH, JASON T",H,UNK,INCUMBENT,MO,1558425.92,28349.59,1586775.51,1165519.33,146192.58,571789.15,965644.50,1/1/2015,10/19/2016,Y,229648
"KELLY, ROBIN L.",H,DEM,INCUMBENT,IL,1035975.20,,1035975.20,780256.31,122066.79,378523.75,595887.94,1/1/2015,10/19/2016,Y,229184
"HARRIS, ANDREW P",H,REP,INCUMBENT,MD,1187269.96,,1187269.96,665583.99,297598.73,820454.26,500548.29,1/1/2015,10/19/2016,Y,229135
"MEADOWS, MARK R",H,REP,INCUMBENT,NC,580005.32,,580005.32,530763.44,174406.45,226899.42,387382.55,1/1/2015,10/19/2016,Y,229130
"LONG, BILLY MR.",H,REP,INCUMBENT,MO,1390368.55,8939.99,1399308.54,1509758.14,561805.11,463152.45,1478549.40,1/1/2015,10/19/2016,Y,228001
"GALLAGHER, MICHAEL JOHN",H,REP,OPEN,WI,2389320.14,,2389320.14,1974232.25,,415087.89,1972257.25,1/1/2016,10/19/2016,Y,227703
"LUCAS, FRANK D.",H,REP,INCUMBENT,OK,1130318.77,3599.65,1133918.42,1039346.54,287017.55,396846.52,577101.79,1/1/2015,10/19/2016,Y,227276
