STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/1/1980,,,,,0.1,2,29,38,25,25,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/2/1980,,,,,0.43,3,34,27,18,18,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/3/1980,,,,,0.09,1,30,27,12,18,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/4/1980,,,,,0,0,30,31,18,27,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/5/1980,,,,,0,0,30,34,26,34,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/6/1980,,,,,0.06,1,30,42,12,12,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/7/1980,,,,,0.26,4,32,21,13,13,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/8/1980,,,,,0.4,6,34,20,11,19,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/9/1980,,,,,1.08,9,38,28,12,24,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/10/1980,,,,,3.08,19,55,30,16,27,,1,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/11/1980,,,,,1.89,12,62,30,-5,4,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/12/1980,,,,,0.93,7,56,32,4,30,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/13/1980,,,,,1.12,6,60,33,31,32,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/14/1980,,,,,1,4,61,40,26,26,,1,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/15/1980,,,,,2.2,17,69,28,21,24,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/16/1980,,,,,0.12,1,64,35,24,24,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/17/1980,,,,,0.2,2,60,32,22,26,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/18/1980,,,,,0.7,5,64,30,20,23,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/19/1980,,,,,0.46,5,64,29,17,20,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/20/1980,,,,,0,0,61,31,15,18,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/21/1980,,,,,0,0,60,34,16,21,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/22/1980,,,,,0,0,60,37,14,15,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/23/1980,,,,,0,0,58,42,14,18,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/24/1980,,,,,0,0,57,43,20,20,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/25/1980,,,,,0,0,56,33,20,25,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/26/1980,,,,,0,0,55,25,10,15,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/27/1980,,,,,0,0,53,24,10,24,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/28/1980,,,,,0.82,12,60,24,5,7,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/29/1980,,,,,0.43,8,66,22,7,22,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/30/1980,,,,,1.33,20,81,24,-6,-6,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,1/31/1980,,,,,0,0,77,32,-6,16,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/1/1980,,,,,0,0,70,37,16,23,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/2/1980,,,,,0,0,70,38,19,22,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/3/1980,,,,,0,0,70,37,24,29,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/4/1980,,,,,0.18,1,71,41,26,26,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/5/1980,,,,,0,0,70,33,15,22,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/6/1980,,,,,0,0,69,42,22,28,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/7/1980,,,,,0.84,9,78,29,16,19,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/8/1980,,,,,0,0,74,28,8,10,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/9/1980,,,,,0,0,73,28,8,15,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/10/1980,,,,,0,0,72,38,14,16,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/11/1980,,,,,0,0,70,37,12,14,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/12/1980,,,,,0,0,70,35,13,16,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/13/1980,,,,,0,0,69,32,14,27,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/14/1980,,,,,0.14,1.5,71,34,26,30,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/15/1980,,,,,2.88,25,80,34,28,28,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/16/1980,,,,,0.65,5,81,31,21,,,,,,
USC00420072,ALTA, UT US,40.5905,-111.6369,2660.9,2/17/1980,,,,,0.21,2,82,42,27,27,,,,,
